City,ComfortableRetirees,DiverseWorkers,ElderMidscaleClass,EliteHouseholds,MassMarkets,ModestFamilies,ProsperousAcheivers,UpscaleMatures,WellheeledAffluents,YoungAffluentMobiles,YoungUpscaleFamilies,YoungUrbanMasses,Total
May,203,118,91,1,30,0,7,17,4,3,17,7,498
Aaronsburg,4,4,67,0,90,0,2,2,0,2,5,1,177
Abbeville,1426,2019,1782,53,1684,531,321,228,24,76,1156,779,10079
Abbot,104,47,31,0,17,0,0,2,0,0,2,1,204
Abbotsford,28,205,27,5,200,12,14,9,7,7,50,57,621
Abbott,19,31,90,4,22,0,3,19,1,4,23,7,223
Abbottstown,9,6,100,43,235,1,50,91,27,91,132,19,804
Abbyville,26,12,21,0,10,0,2,1,1,1,2,1,77
Abell,1,0,2,4,4,0,8,19,8,12,4,2,64
Aberdeen,1429,4776,2206,683,3110,1803,1476,1021,297,1471,1986,1820,22078
Aberdeen Proving Ground,1,1,6,8,42,5,1,4,0,4,21,72,165
Abernathy,43,78,203,5,104,9,32,15,5,31,101,38,664
Abilene,901,10651,2556,1329,3177,1328,1770,913,452,445,2561,1064,27147
Abingdon,890,776,1983,825,1194,637,647,534,472,1968,1250,1542,12718
Abington,78,9,475,620,1006,1,769,555,581,950,1176,487,6707
Abiquiu,4,15,435,1,23,0,1,2,1,3,3,2,490
Abita Springs,40,51,272,63,305,3,100,141,44,51,417,15,1502
Abrams,7,4,74,8,127,0,58,28,2,23,150,4,485
Absarokee,286,1,27,3,12,0,7,16,6,1,8,3,370
Absecon,31,139,369,639,417,324,1983,682,161,620,1912,232,7509
Acampo,36,7,376,16,233,1,136,192,25,100,206,124,1452
Accident,10,30,138,4,79,12,23,41,2,7,56,38,440
Accokeek,1,2,3,466,3,0,107,30,522,565,111,1,1811
Accomac,63,96,48,5,94,9,13,16,3,2,6,31,386
Accord,14,2,125,11,105,0,84,144,8,105,146,30,774
Ackerly,8,6,5,2,31,0,1,14,1,0,10,10,88
Ackerman,270,500,47,1,122,9,4,23,0,1,6,16,999
Ackley,102,51,191,8,60,5,27,26,10,21,54,9,564
Ackworth,9,3,22,12,10,0,9,7,4,6,42,2,126
Acme,18,200,340,13,189,1,41,27,7,11,55,61,963
Acra,15,20,25,1,34,3,3,5,1,1,12,10,130
Acton,14,17,122,1978,260,0,591,231,1397,1002,646,23,6281
Acushnet,66,97,251,112,199,3,561,253,40,73,325,67,2047
Acworth,150,1874,778,4936,2722,41,1046,536,422,806,2559,1147,17017
Ada,885,1847,542,900,1817,874,713,503,369,886,1109,844,11289
Adah,44,116,13,1,10,2,3,2,0,3,6,2,202
Adair,76,72,875,10,159,2,28,51,10,21,116,52,1472
Adairsville,304,698,343,20,766,129,91,56,2,27,141,191,2768
Adairville,120,121,111,1,71,10,3,3,3,10,33,11,497
Adak,0,4,7,0,1,1,0,0,0,1,1,49,64
Adamant,0,0,6,1,11,0,3,12,1,3,6,4,47
Adams,517,1470,745,255,856,104,179,254,59,276,627,362,5704
Adams Center,8,4,49,24,63,1,54,16,6,75,128,103,531
Adams Run,25,216,35,2,71,0,3,3,2,2,3,2,364
Adamsburg,2,2,15,11,6,0,11,18,7,17,9,2,100
Adamstown,11,1,20,303,93,0,142,65,80,154,90,17,976
Adamsville,382,905,507,12,726,51,70,86,11,45,208,93,3096
Addieville,10,6,44,3,47,1,21,33,11,16,28,20,240
Addis,15,16,68,16,149,0,144,5,1,39,102,37,592
Addison,249,1405,1199,490,1712,432,1075,937,614,1101,718,3000,12932
Addy,55,94,91,2,29,1,8,12,5,9,8,26,340
Addyston,16,11,6,3,10,12,12,7,3,6,16,65,167
Adel,378,949,336,181,811,106,112,90,55,50,343,138,3549
Adelanto,68,546,30,36,2714,672,23,20,3,44,295,45,4496
Adell,21,7,72,34,40,0,23,45,5,38,43,10,338
Adena,45,110,214,2,65,2,7,13,1,5,22,21,507
Adger,41,127,35,9,243,0,20,33,2,6,98,20,634
Adin,8,5,26,0,2,1,2,4,0,1,2,5,56
Adirondack,3,1,12,0,4,0,2,27,0,2,6,4,61
Adkins,51,18,134,158,345,0,244,164,6,54,351,38,1563
Admire,8,4,14,0,18,0,2,8,1,2,9,6,72
Adolphus,60,272,45,1,111,0,2,0,2,3,8,12,516
Adona,18,24,28,0,45,4,0,2,0,2,6,15,144
Adrian,640,1893,1502,118,2554,942,409,258,169,126,719,445,9775
Advance,81,557,757,100,691,3,322,505,60,189,365,46,3676
Advent,0,1,10,0,13,0,0,0,0,0,2,1,27
Afton,676,1069,840,102,1608,93,263,424,354,245,230,274,6178
Agar,2,2,19,1,3,0,1,6,0,2,2,2,40
Agate,2,9,30,1,18,1,3,3,2,1,14,5,89
Agawam,166,119,157,80,443,5,376,438,69,182,1009,751,3795
Agency,67,16,88,37,83,0,42,55,17,35,68,14,522
Agenda,11,3,11,0,1,0,1,3,2,0,1,2,35
Ages Brookside,2,14,1,0,1,0,0,0,0,0,0,1,19
Agness,27,2,4,0,1,0,0,1,0,0,0,1,36
Agoura Hills,2,2,4,1057,50,0,660,177,909,1661,173,155,4850
Agra,68,161,107,4,68,2,4,4,2,2,23,8,453
Aguanga,69,100,213,59,60,11,57,79,27,28,59,29,791
Aguilar,20,24,136,0,3,0,4,10,2,0,2,10,211
Ahoskie,314,496,549,7,603,351,22,26,6,3,80,241,2698
Ahsahka,1,1,12,0,7,0,1,5,0,0,1,2,30
Ahwahnee,37,22,66,3,29,2,13,109,3,5,74,65,428
Aiea,20,28,241,725,155,4,686,510,749,2605,1066,442,7231
Aiken,1200,4123,631,169,2383,616,561,1826,467,492,1072,1564,15104
Ailey,31,93,38,2,66,25,9,3,2,1,9,48,327
Aimwell,11,5,2,0,5,0,0,0,0,0,0,1,24
Ainsworth,150,254,61,12,123,10,29,28,7,37,53,54,818
Airville,11,8,57,26,156,1,36,53,10,24,130,39,551
Airway Heights,56,25,13,2,102,18,9,0,2,28,28,506,789
Aitkin,131,376,771,6,110,28,91,308,25,21,145,22,2034
Ajo,241,398,80,3,44,19,8,18,12,9,9,20,861
Akeley,188,32,72,2,39,1,21,24,5,2,24,7,417
Akiachak,0,4,0,0,3,0,0,0,0,1,5,2,15
Akiak,0,0,0,0,0,0,0,0,0,0,0,0,0
Akron,3526,9722,5148,1305,11926,11948,3672,2793,2611,3916,2933,4711,64211
Akutan,11,31,1,0,2,3,0,0,1,1,1,3,54
Alabaster,63,448,125,570,826,25,760,196,36,971,903,56,4979
Alachua,223,242,262,120,394,157,604,342,37,526,196,223,3326
Aladdin,16,3,42,0,5,0,0,2,1,0,4,7,80
Alakanuk,15,51,2,1,115,2,1,0,1,0,2,4,194
Alameda,235,12,692,623,863,10,3271,1082,1741,2158,2762,2542,15991
Alamo,812,4079,407,107,967,196,119,78,2106,472,124,101,9568
Alamogordo,962,2302,317,186,2093,526,440,310,35,201,801,423,8596
Alamosa,320,851,334,16,298,345,24,133,20,63,286,380,3070
Alanson,39,167,294,8,411,3,15,20,10,5,36,33,1041
Alapaha,35,271,47,0,9,8,1,1,1,1,4,19,397
Alba,152,136,748,5,44,4,10,114,3,8,28,13,1265
Albany,4496,19619,3715,1656,12209,5088,3647,6313,1407,5451,4823,9131,77555
Albemarle,339,1346,798,58,879,518,137,131,90,96,617,805,5814
Albers,2,1,6,11,8,0,80,17,6,9,59,3,202
Albert,6,3,19,1,9,0,2,6,0,2,7,4,59
Albert City,95,20,59,1,38,4,2,7,1,4,11,11,253
Albert Lea,709,1010,455,110,228,465,216,906,185,61,290,131,4766
Alberta,124,133,145,2,81,2,7,17,1,4,12,33,561
Alberton,3,3,31,6,39,1,14,148,12,7,14,21,299
Albertson,27,348,16,247,84,1,337,89,393,172,74,56,1844
Albertville,446,2351,395,501,1062,812,260,144,72,648,852,877,8420
Albia,71,382,249,28,259,15,58,19,11,26,152,39,1309
Albin,4,2,18,0,2,0,3,3,0,2,31,1,66
Albion,903,2215,1869,67,1503,434,388,453,60,165,1085,543,9685
Alborn,16,8,36,2,8,1,9,4,1,1,17,0,103
Albright,31,67,63,2,76,3,12,4,5,4,23,4,294
Albrightsville,19,17,227,12,481,0,134,485,2,97,262,13,1749
Albuquerque,2063,13136,12027,2726,34324,16552,1964,8401,4170,20111,3779,18733,137986
Alburgh,42,4,191,1,96,0,4,30,0,16,21,28,433
Alburnett,3,2,17,9,5,0,30,107,8,7,29,6,223
Alburtis,6,3,44,28,73,0,69,27,11,420,420,21,1122
Alcester,167,52,48,2,24,7,14,14,3,7,47,7,392
Alcoa,116,414,248,7,284,158,47,62,38,23,21,160,1578
Alcolu,207,136,47,1,35,23,4,1,2,1,6,8,471
Alcova,1,1,5,1,1,0,3,2,2,2,2,0,20
Alcove,2,0,2,3,4,0,2,3,2,3,7,2,30
Alda,2,22,18,7,35,0,31,26,4,3,56,4,208
Alden,107,290,566,89,658,15,295,214,44,157,634,109,3178
Alder Creek,1,0,4,1,5,0,2,1,0,1,1,0,16
Alderpoint,1,58,13,0,4,1,0,2,0,1,1,7,88
Alderson,457,319,53,0,82,3,4,1,2,3,3,22,949
Aldie,0,0,1,1415,1,0,79,12,163,390,51,1,2113
Aldrich,24,62,59,0,45,3,2,4,0,2,6,2,209
Aledo,162,159,493,604,363,32,324,268,215,538,486,162,3806
Aleknagik,1,9,20,0,5,0,0,0,0,8,0,1,44
Aleppo,5,23,12,1,14,2,4,1,1,1,3,4,71
Alex,35,10,16,0,33,1,0,1,0,0,3,1,100
Alexander,197,451,696,95,1478,9,89,289,27,141,640,354,4466
Alexander City,456,2001,172,42,768,377,104,109,24,64,190,82,4389
Alexandria,2042,6447,4574,10110,9065,3795,5457,3931,8020,31427,4403,12387,101658
Alexandria Bay,45,99,131,1,55,6,21,29,9,5,22,36,459
Alexis,19,76,223,7,89,2,12,12,6,7,21,16,490
Alford,43,94,207,5,57,3,9,24,5,6,24,41,518
Alfred,74,20,295,22,382,1,81,282,8,137,523,165,1990
Alfred Station,4,7,25,1,49,1,2,14,2,7,7,83,202
Alger,105,295,509,8,232,1,16,26,3,26,42,39,1302
Algodones,2,5,181,1,30,0,4,7,1,7,4,1,243
Algoma,119,154,449,34,90,19,39,131,6,21,104,40,1206
Algona,138,239,659,27,134,21,67,119,22,47,138,30,1641
Algonac,263,481,418,29,315,84,346,373,38,37,250,36,2670
Algonquin,37,3,110,2634,209,1,466,113,237,570,1333,65,5778
Alhambra,742,295,547,70,4492,119,1533,398,90,553,1323,5653,15815
Alice,484,1828,475,122,1366,176,36,64,52,91,190,289,5173
Aliceville,416,342,49,1,91,73,3,7,6,3,33,6,1030
Alicia,5,88,4,0,17,2,3,1,0,0,2,10,132
Aline,21,9,28,0,11,1,7,5,3,2,7,4,98
Aliquippa,335,570,774,275,1821,367,236,891,178,503,1036,161,7147
Aliso Viejo,5,3,56,1275,323,0,352,82,200,5731,1390,754,10171
Alix,5,8,4,0,2,0,0,0,0,0,0,0,19
Alkol,47,130,33,1,56,0,1,0,0,1,6,2,277
Allakaket,0,0,0,0,0,0,0,0,0,0,0,0,0
Allardt,13,43,24,1,70,0,1,0,0,7,13,1,173
Alledonia,6,11,17,1,13,1,1,1,0,1,5,1,58
Allegan,348,1172,594,43,568,77,95,126,24,48,318,61,3474
Allegany,63,117,671,6,123,7,63,54,15,18,132,88,1357
Alleghany,4,0,4,0,2,0,0,11,0,0,0,1,22
Alleman,1,0,6,12,5,0,17,6,2,15,24,3,91
Allen,137,998,568,7583,2685,16,288,95,455,971,4921,929,19646
Allen Park,196,395,743,54,1389,14,136,947,24,460,1415,145,5918
Allendale,565,318,69,123,255,350,48,41,925,683,322,1998,5697
Allenhurst,23,316,16,31,330,2,49,21,167,43,57,230,1285
Allenport,16,5,37,1,4,5,4,3,1,1,4,3,84
Allenspark,0,0,7,1,1,0,31,24,3,5,11,7,90
Allensville,32,102,18,6,104,9,7,3,2,7,9,26,325
Allenton,11,8,79,69,181,0,74,57,22,84,437,59,1081
Allentown,3708,5289,1152,873,6110,4172,1500,2810,2206,1056,1093,3985,33954
Allenwood,66,109,64,5,26,10,9,14,10,16,51,22,402
Allerton,12,32,55,6,64,1,6,19,2,2,23,6,228
